Sample	Assigned
CO2_30_g0_r1_T1	3221976.0
CO2_30_g0_r2_T1	2810382.0
CO2_30_g0_r3_T1	2954983.0
CO2_30_g10_r1_T1	3399832.0
CO2_30_g10_r2_T1	3003631.0
CO2_30_g10_r3_T1	3248234.0
CO2_30_g4_r1_T1	2231779.0
CO2_30_g4_r2_T1	2497417.0
CO2_30_g4_r3_T1	3211760.0
CO2_30_g8_r1_T1	2793618.0
CO2_30_g8_r2_T1	2287101.0
CO2_30_g8_r3_T1	2466873.0
CO2_4_g0_r1_T1	1999744.0
CO2_4_g0_r2_T1	2311314.0
CO2_4_g0_r3_T1	3045490.0
CO2_4_g0_r4_T1	2195254.0
CO2_4_g10_r1_T1	2981706.0
CO2_4_g10_r2_T1	2779618.0
CO2_4_g10_r3_T1	2889290.0
CO2_4_g10_r4_T1	2706700.0
CO2_4_g4_r1_T1	2794578.0
CO2_4_g4_r2_T1	3832896.0
CO2_4_g4_r3_T1	3346972.0
CO2_4_g4_r4_T1	2892804.0
CO2_4_g8_r1_T1	3128764.0
CO2_4_g8_r2_T1	3062879.0
CO2_4_g8_r3_T1	3251044.0
CO2_4_g8_r4_T1	2771011.0
