Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CO2_1_g0_r1_T1	0.13864292097784636	0.0
CO2_1_g0_r2_T1	0.14234163487071114	0.0
CO2_1_g0_r3_T1	0.14122670809613544	0.0
CO2_1_g10_r1_T1	0.1635847100581595	0.0
CO2_1_g10_r2_T1	0.16488324023073206	0.0
CO2_1_g10_r3_T1	0.17272413597040884	0.0
CO2_1_g4_r1_T1	0.15491137398795032	0.0
CO2_1_g4_r2_T1	0.16019862322435285	0.0
CO2_1_g4_r3_T1	0.14896195404311618	0.0
CO2_1_g8_r1_T1	0.16488073418323768	0.0
CO2_1_g8_r2_T1	0.15855984946471474	0.0
CO2_1_g8_r3_T1	0.15784158646265029	0.0
CO2_30_g0_r1_T1	0.14353839801303478	0.0
CO2_30_g0_r2_T1	0.1460472473117844	0.0
CO2_30_g0_r3_T1	0.14396746767433863	0.0
CO2_30_g10_r1_T1	0.21081525902277215	0.5433732480367652
CO2_30_g10_r2_T1	0.2701265547785068	1.2258360392490741
CO2_30_g10_r3_T1	0.2245488160830699	0.4609695859420172
CO2_30_g4_r1_T1	0.15580704247832	0.0
CO2_30_g4_r2_T1	0.1593209568335527	0.0
CO2_30_g4_r3_T1	0.15521261788761892	0.0
CO2_30_g8_r1_T1	0.1617759519544117	0.0
CO2_30_g8_r2_T1	0.16432212200636187	0.0
CO2_30_g8_r3_T1	0.16411099347351257	0.0
CO2_4_g0_r1_T1	0.14682830846520728	0.0
CO2_4_g0_r2_T1	0.15721772939782458	0.0
CO2_4_g0_r3_T1	0.149340167690287	0.0
CO2_4_g0_r4_T1	0.14171578190438736	0.0
CO2_4_g10_r1_T1	0.18590507820451538	0.10159244417564742
CO2_4_g10_r2_T1	0.1789310356211416	0.0
CO2_4_g10_r3_T1	0.18879585166222917	0.0
CO2_4_g10_r4_T1	0.17873953415396027	0.0
CO2_4_g4_r1_T1	0.1671466768976678	0.0
CO2_4_g4_r2_T1	0.16382549575833782	0.0
CO2_4_g4_r3_T1	0.16265067168570208	0.0
CO2_4_g4_r4_T1	0.15939875654544666	0.0
CO2_4_g8_r1_T1	0.17678138096387597	0.0
CO2_4_g8_r2_T1	0.17506337031738267	0.0
CO2_4_g8_r3_T1	0.17138675588722	0.0
CO2_4_g8_r4_T1	0.18429874865023815	0.0
CO2_amb_g0_r1_T1	0.14581254786237882	0.0
CO2_amb_g0_r2_T1	0.13450847958252365	0.0
CO2_amb_g0_r3_T1	0.14058454196417136	0.0
CO2_amb_g10_r1_T1	0.15865355288353183	0.0
CO2_amb_g10_r2_T1	0.1645465301953741	0.0
CO2_amb_g10_r3_T1	0.15385553141994546	0.0
CO2_amb_g4_r1_T1	0.14845503976568075	0.0
CO2_amb_g4_r2_T1	0.14600335318011626	0.0
CO2_amb_g4_r3_T1	0.14703220919844226	0.0
CO2_amb_g8_r1_T1	0.1561944808621837	0.0
CO2_amb_g8_r2_T1	0.1539287258612991	0.0
CO2_amb_g8_r3_T1	0.16574864158833172	0.0
